1310;0,000;0,000;0,000;0,000;0,000;0,000
1414;0,009;0,000;0,000;0,000;0,000;0,000
1455;0,027;0,021;0,000;0,000;0,000;0,000
1639;0,034;0,028;0,014;0,000;0,000;0,000
1956;0,049;0,043;0,031;0,017;0,011;0,000
2079;0,060;0,055;0,041;0,028;0,023;0,017
2213;0,074;0,062;0,056;0,042;0,030;0,024
2314;0,096;0,083;0,070;0,056;0,049;0,043
2479;0,111;0,098;0,084;0,071;0,058;0,051
2561;0,118;0,106;0,100;0,086;0,073;0,067
2663;0,126;0,113;0,107;0,093;0,081;0,074
2929;0,134;0,121;0,115;0,102;0,088;0,082
3247;0,147;0,137;0,134;0,123;0,112;0,109
3585;0,156;0,146;0,143;0,132;0,121;0,118
3718;0,164;0,156;0,151;0,140;0,137;0,126
3933;0,172;0,163;0,160;0,148;0,145;0,134
4353;0,184;0,175;0,172;0,161;0,156;0,145
4620;0,192;0,183;0,180;0,169;0,166;0,161
4916;0,200;0,191;0,188;0,177;0,174;0,170
5204;0,207;0,199;0,196;0,185;0,182;0,178
5634;0,215;0,207;0,204;0,193;0,189;0,186
6064;0,227;0,218;0,215;0,204;0,201;0,198
6768;0,242;0,235;0,234;0,224;0,223;0,221
7236;0,250;0,245;0,242;0,232;0,231;0,229
7817;0,258;0,253;0,251;0,240;0,239;0,237
8500;0,266;0,261;0,259;0,250;0,246;0,245
9284;0,274;0,269;0,267;0,258;0,256;0,253
10018;0,286;0,281;0,279;0,270;0,268;0,266
12535;0,294;0,289;0,287;0,278;0,276;0,274
12535;0,302;0,297;0,295;0,286;0,284;0,282
