1310;0,000;0,000;0,000;0,000;0,000;0,000
1414;0,013;0,000;0,000;0,000;0,000;0,000
1455;0,037;0,029;0,000;0,000;0,000;0,000
1639;0,047;0,039;0,020;0,000;0,000;0,000
1956;0,067;0,059;0,042;0,024;0,016;0,000
2079;0,082;0,075;0,056;0,039;0,031;0,023
2213;0,101;0,085;0,077;0,058;0,041;0,033
2314;0,126;0,109;0,092;0,074;0,065;0,057
2479;0,146;0,129;0,111;0,094;0,076;0,067
2561;0,155;0,139;0,131;0,113;0,096;0,088
2663;0,166;0,149;0,141;0,123;0,106;0,098
2929;0,176;0,159;0,151;0,134;0,116;0,108
3247;0,187;0,174;0,170;0,156;0,143;0,139
3585;0,199;0,186;0,182;0,168;0,154;0,150
3718;0,209;0,198;0,192;0,178;0,174;0,160
3933;0,219;0,208;0,204;0,188;0,184;0,170
4353;0,234;0,223;0,219;0,205;0,199;0,185
4620;0,244;0,233;0,229;0,215;0,211;0,205
4916;0,254;0,243;0,239;0,225;0,221;0,217
5204;0,264;0,253;0,249;0,235;0,231;0,227
5634;0,274;0,263;0,259;0,245;0,241;0,237
6064;0,289;0,278;0,274;0,260;0,256;0,252
6768;0,303;0,295;0,293;0,281;0,279;0,277
7236;0,313;0,306;0,302;0,291;0,289;0,287
7817;0,323;0,316;0,314;0,300;0,299;0,297
8500;0,333;0,326;0,324;0,312;0,308;0,306
9284;0,343;0,336;0,334;0,322;0,320;0,316
10018;0,358;0,351;0,349;0,337;0,335;0,333
12535;0,368;0,361;0,359;0,347;0,345;0,343
12535;0,378;0,371;0,369;0,357;0,355;0,353
