1310;0,000;0,000;0,000;0,000;0,000;0,000
1414;0,012;0,000;0,000;0,000;0,000;0,000
1455;0,033;0,026;0,000;0,000;0,000;0,000
1639;0,042;0,035;0,018;0,000;0,000;0,000
1956;0,063;0,055;0,039;0,022;0,015;0,000
2079;0,077;0,070;0,052;0,037;0,029;0,022
2213;0,095;0,080;0,072;0,054;0,038;0,031
2314;0,118;0,102;0,086;0,069;0,061;0,053
2479;0,137;0,121;0,104;0,088;0,071;0,063
2561;0,145;0,130;0,123;0,106;0,090;0,082
2663;0,155;0,140;0,132;0,115;0,099;0,092
2929;0,165;0,149;0,141;0,126;0,109;0,101
3247;0,183;0,170;0,166;0,152;0,140;0,136
3585;0,194;0,182;0,178;0,164;0,150;0,147
3718;0,204;0,193;0,188;0,174;0,170;0,156
3933;0,214;0,203;0,199;0,184;0,180;0,166
4353;0,229;0,218;0,214;0,200;0,194;0,181
4620;0,238;0,228;0,224;0,210;0,206;0,200
4916;0,248;0,237;0,234;0,220;0,216;0,212
5204;0,258;0,247;0,243;0,230;0,226;0,222
5634;0,268;0,257;0,253;0,239;0,235;0,232
6064;0,282;0,272;0,268;0,254;0,250;0,246
6768;0,303;0,295;0,293;0,281;0,279;0,277
7236;0,313;0,306;0,302;0,291;0,289;0,287
7817;0,323;0,316;0,314;0,300;0,299;0,297
8500;0,333;0,326;0,324;0,312;0,308;0,306
9284;0,343;0,336;0,334;0,322;0,320;0,316
10018;0,358;0,351;0,349;0,337;0,335;0,333
12535;0,368;0,361;0,359;0,347;0,345;0,343
12535;0,378;0,371;0,369;0,357;0,355;0,353
