1310;0,000;0,000;0,000;0,000;0,000;0,000
1414;0,012;0,000;0,000;0,000;0,000;0,000
1455;0,038;0,006;0,000;0,000;0,000;0,000
1639;0,047;0,024;0,000;0,000;0,000;0,000
1956;0,063;0,045;0,036;0,003;0,000;0,000
2079;0,077;0,059;0,050;0,022;0,012;0,000
2213;0,095;0,068;0,059;0,040;0,022;0,012
2314;0,118;0,091;0,073;0,054;0,036;0,026
2479;0,137;0,110;0,092;0,073;0,055;0,036
2561;0,145;0,128;0,110;0,092;0,064;0,055
2663;0,155;0,138;0,119;0,101;0,082;0,073
2929;0,165;0,147;0,128;0,111;0,101;0,092
3247;0,183;0,168;0,152;0,138;0,132;0,126
3585;0,194;0,180;0,164;0,149;0,143;0,137
3718;0,204;0,192;0,184;0,158;0,152;0,147
3933;0,214;0,201;0,195;0,168;0,162;0,156
4353;0,234;0,221;0,215;0,190;0,182;0,176
4620;0,243;0,231;0,225;0,199;0,193;0,186
4916;0,253;0,240;0,234;0,209;0,203;0,197
5204;0,263;0,250;0,244;0,219;0,213;0,207
5634;0,273;0,260;0,254;0,238;0,223;0,217
6064;0,287;0,275;0,269;0,253;0,237;0,232
6768;0,303;0,293;0,289;0,275;0,261;0,257
7236;0,313;0,304;0,299;0,285;0,271;0,267
7817;0,323;0,314;0,310;0,295;0,291;0,277
8500;0,333;0,324;0,320;0,306;0,296;0,287
9284;0,343;0,334;0,330;0,316;0,302;0,297
10018;0,358;0,349;0,345;0,331;0,327;0,313
12535;0,368;0,359;0,355;0,341;0,337;0,323
12535;0,378;0,369;0,365;0,351;0,347;0,333
