659;0,000;0,000;0,000;0,000;0,000;0,000
686;0,001;0,000;0,000;0,000;0,000;0,000
718;0,029;0,009;0,006;0,003;0,000;0,000
739;0,051;0,031;0,018;0,005;0,000;0,000
814;0,057;0,037;0,024;0,018;0,005;0,000
922;0,072;0,053;0,046;0,028;0,022;0,009
1005;0,081;0,062;0,056;0,037;0,032;0,022
1065;0,091;0,071;0,064;0,045;0,036;0,030
1143;0,099;0,086;0,079;0,059;0,053;0,040
1225;0,106;0,094;0,086;0,067;0,060;0,047
1321;0,113;0,108;0,095;0,080;0,067;0,061
1424;0,120;0,114;0,102;0,089;0,075;0,069
1562;0,128;0,123;0,109;0,097;0,083;0,076
1711;0,139;0,133;0,120;0,107;0,101;0,088
1870;0,151;0,146;0,133;0,121;0,115;0,102
1977;0,158;0,154;0,140;0,127;0,121;0,109
2090;0,171;0,168;0,154;0,139;0,133;0,127
2218;0,179;0,175;0,162;0,149;0,141;0,136
2367;0,186;0,183;0,178;0,156;0,150;0,143
2535;0,194;0,190;0,184;0,165;0,159;0,152
2767;0,202;0,198;0,192;0,172;0,166;0,160
3104;0,219;0,215;0,208;0,186;0,181;0,175
3534;0,231;0,230;0,227;0,208;0,205;0,202
4118;0,241;0,241;0,235;0,224;0,213;0,210
4650;0,255;0,252;0,249;0,236;0,225;0,222
5194;0,263;0,260;0,257;0,246;0,241;0,229
5880;0,270;0,268;0,265;0,254;0,251;0,237
6727;0,290;0,289;0,284;0,278;0,277;0,275
7939;0,298;0,297;0,295;0,286;0,285;0,283
9560;0,314;0,313;0,311;0,302;0,301;0,299
11282;0,322;0,321;0,319;0,314;0,309;0,307
18854;0,330;0,329;0,327;0,322;0,320;0,315
20221;0,338;0,337;0,335;0,330;0,328;0,323
22749;0,345;0,345;0,343;0,338;0,336;0,333
25276;0,353;0,353;0,351;0,346;0,344;0,342
25276;0,361;0,361;0,359;0,354;0,352;0,350
