1310;0,000;0,000;0,000;0,000;0,000;0,000
1414;0,013;0,000;0,000;0,000;0,000;0,000
1455;0,042;0,007;0,000;0,000;0,000;0,000
1639;0,052;0,027;0,000;0,000;0,000;0,000
1956;0,067;0,048;0,038;0,003;0,000;0,000
2079;0,082;0,063;0,053;0,023;0,013;0,000
2213;0,101;0,073;0,063;0,043;0,023;0,013
2314;0,126;0,097;0,078;0,058;0,038;0,028
2479;0,146;0,117;0,098;0,078;0,059;0,038
2561;0,155;0,137;0,117;0,098;0,068;0,059
2663;0,166;0,147;0,127;0,108;0,088;0,078
2929;0,176;0,157;0,137;0,118;0,108;0,098
3247;0,187;0,172;0,156;0,141;0,135;0,129
3585;0,199;0,184;0,168;0,152;0,146;0,140
3718;0,209;0,196;0,188;0,162;0,156;0,150
3933;0,219;0,206;0,200;0,172;0,166;0,160
4353;0,239;0,226;0,220;0,194;0,186;0,180
4620;0,249;0,236;0,230;0,204;0,198;0,190
4916;0,259;0,246;0,240;0,214;0,208;0,202
5204;0,269;0,256;0,250;0,224;0,218;0,212
5634;0,279;0,266;0,260;0,244;0,228;0,222
6064;0,294;0,281;0,275;0,259;0,243;0,237
6768;0,303;0,293;0,289;0,275;0,261;0,257
7236;0,313;0,304;0,299;0,285;0,271;0,267
7817;0,323;0,314;0,310;0,295;0,291;0,277
8500;0,333;0,324;0,320;0,306;0,296;0,287
9284;0,343;0,334;0,330;0,316;0,302;0,297
10018;0,358;0,349;0,345;0,331;0,327;0,313
12535;0,368;0,359;0,355;0,341;0,337;0,323
12535;0,378;0,369;0,365;0,351;0,347;0,333
